Student ID,Gender,Education,Infrastructure,PlacementSupport,FacultySupport,Events,Fees,Sport Facility,DegreeYears,Churn
7590-VHVEG,Female,Poor,Good,Poor,Poor,Poor,52885,Poor,4,No
5575-GNVDE,Male,Good,Poor,Good,Poor,Poor,13000,Poor,4,No
3668-QPYBK,Male,Good,Good,Poor,Poor,Poor,52885,Poor,4,Yes
7795-CFOCW,Male,Good,Poor,Good,Good,Poor,13000,Poor,4,No
9237-HQITU,Female,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,Yes
9305-CDSKC,Female,Poor,Poor,Good,Poor,Good,13000,Good,4,Yes
1452-KIOVK,Male,Poor,Good,Poor,Poor,Good,52885,Poor,4,No
6713-OKOMC,Female,Good,Poor,Poor,Poor,Poor,52885,Poor,4,No
7892-POOKP,Female,Poor,Poor,Good,Good,Good,13000,Good,4,Yes
6388-TABGU,Male,Good,Good,Poor,Poor,Poor,52885,Poor,4,No
9763-GRSKD,Male,Good,Poor,Poor,Poor,Poor,52885,Poor,4,No
7469-LKBCI,Male,Good,Good,Good,Good,Poor,4000,Good,4,No
8091-TTVAX,Male,Poor,Poor,Good,Poor,Good,13000,Good,4,No
0280-XJGEX,Male,Poor,Good,Good,Poor,Good,13000,Good,4,Yes
5129-JLPIS,Male,Good,Poor,Good,Good,Poor,13000,Good,4,No
3655-SNQYZ,Female,Good,Good,Good,Good,Good,13000,Good,4,No
8191-XWSZG,Female,Good,Good,Good,Good,Poor,4000,Good,4,No
9959-WOFKT,Male,Good,Poor,Good,Poor,Good,13000,Good,4,No
4190-MFLUW,Female,Poor,Poor,Good,Good,Poor,13000,Poor,4,Yes
4183-MYFRB,Female,Poor,Good,Good,Poor,Poor,13000,Good,4,No
8779-QRDMV,Male,Poor,Poor,Good,Poor,Poor,13000,Good,4,Yes
1680-VDCWW,Male,Good,Good,Good,Good,Poor,4000,Good,4,No
1066-JKSGK,Male,Good,Good,Good,Good,Poor,4000,Good,4,Yes
3638-WEABW,Female,Poor,Good,Poor,Good,Good,52885,Poor,4,No
6322-HRPFA,Male,Good,Good,Poor,Good,Poor,52885,Poor,4,No
6865-JZNKO,Female,Good,Good,Poor,Poor,Poor,52885,Poor,4,No
6467-CHFZW,Male,Poor,Good,Poor,Poor,Good,52885,Good,4,Yes
8665-UTDHZ,Male,Poor,Good,Poor,Poor,Poor,52885,Poor,4,Yes
5248-YGIJN,Male,Good,Good,Good,Good,Good,13000,Good,4,No
8773-HHUOZ,Female,Poor,Poor,Poor,Poor,Poor,52885,Good,4,Yes
3841-NFECX,Female,Good,Good,Good,Good,Good,13000,Poor,4,No
4929-XIHVW,Male,Poor,Poor,Good,Poor,Poor,13000,Good,4,No
6827-IEAUQ,Female,Good,Good,Good,Good,Poor,13000,Poor,4,No
7310-EGVHZ,Male,Good,Good,Good,Good,Poor,4000,Good,4,No
3413-BMNZE,Male,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,No
6234-RAAPL,Female,Good,Good,Poor,Good,Good,52885,Poor,4,No
6047-YHPVI,Male,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,Yes
6572-ADKRS,Female,Poor,Poor,Good,Poor,Poor,13000,Poor,4,No
5380-WJKOV,Male,Poor,Good,Good,Poor,Good,13000,Good,4,Yes
8168-UQWWF,Female,Poor,Poor,Good,Poor,Good,13000,Good,4,Yes
8865-TNMNX,Male,Poor,Good,Poor,Poor,Poor,52885,Poor,4,No
9489-DEDVP,Female,Good,Good,Poor,Poor,Good,52885,Poor,4,No
9867-JCZSP,Female,Good,Good,Good,Good,Poor,4000,Good,4,No
4671-VJLCL,Female,Good,Good,Good,Good,Good,13000,Poor,4,No
4080-IIARD,Female,Good,Good,Poor,Good,Good,52885,Poor,4,No
3714-NTNFO,Female,Poor,Poor,Poor,Poor,Good,52885,Good,4,No
5948-UJZLF,Male,Poor,Good,Poor,Poor,Poor,52885,Poor,4,No
7760-OYPDY,Female,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,Yes
7639-LIAYI,Male,Good,Poor,Poor,Good,Good,52885,Good,4,No
2954-PIBKO,Female,Good,Poor,Good,Good,Good,13000,Poor,4,No
8012-SOUDQ,Female,Poor,Good,Poor,Poor,Good,52885,Poor,4,No
9420-LOJKX,Female,Good,Good,Poor,Poor,Poor,52885,Good,4,Yes
6575-SUVOI,Female,Good,Poor,Poor,Good,Good,52885,Poor,4,No
7495-OOKFY,Female,Poor,Good,Poor,Poor,Good,52885,Poor,4,Yes
4667-QONEA,Female,Good,Good,Good,Good,Poor,13000,Good,4,No
1658-BYGOY,Male,Poor,Poor,Poor,Poor,Good,52885,Good,4,Yes
8769-KKTPH,Female,Good,Poor,Poor,Poor,Good,52885,Good,4,No
5067-XJQFU,Male,Poor,Good,Good,Good,Good,13000,Good,4,No
3957-SQXML,Female,Good,Good,Good,Good,Good,4000,Good,4,No
5954-BDFSG,Female,Poor,Poor,Good,Good,Good,13000,Good,4,No
0434-CSFON,Female,Poor,Poor,Good,Poor,Good,13000,Good,4,No
1215-FIGMP,Male,Poor,Good,Poor,Poor,Good,52885,Poor,4,No
0526-SXDJP,Male,Good,Good,Good,Poor,Poor,13000,Poor,4,No
0557-ASKVU,Female,Poor,Poor,Good,Good,Poor,13000,Poor,4,No
5698-BQJOH,Female,Poor,Poor,Poor,Poor,Good,52885,Good,4,Yes
5122-CYFXA,Female,Poor,Good,Poor,Good,Poor,52885,Good,4,No
8627-ZYGSZ,Male,Poor,Good,Poor,Poor,Good,52885,Poor,4,No
3410-YOQBQ,Female,Poor,Good,Good,Good,Poor,13000,Good,4,No
3170-NMYVV,Female,Good,Good,Good,Good,Poor,4000,Good,4,No
7410-OIEDU,Male,Good,Poor,Good,Poor,Poor,13000,Poor,4,No
2273-QCKXA,Male,Poor,Poor,Poor,Good,Poor,52885,Poor,4,No
0731-EBJQB,Female,Good,Good,Good,Good,Poor,4000,Good,4,No
1891-QRQSA,Male,Good,Poor,Good,Good,Good,13000,Good,4,No
8028-PNXHQ,Male,Good,Good,Good,Good,Good,4000,Good,4,No
5630-AHZIL,Female,Good,Poor,Poor,Good,Poor,52885,Good,4,No
2673-CXQEU,Female,Good,Good,Good,Poor,Good,13000,Good,4,No
6416-JNVRK,Female,Poor,Poor,Poor,Poor,Poor,52885,Good,4,No
5590-ZSKRV,Female,Good,Good,Poor,Poor,Poor,52885,Poor,4,No
0191-ZHSKZ,Male,Good,Good,Poor,Poor,Poor,52885,Good,4,No
3887-PBQAO,Female,Good,Good,Good,Good,Good,4000,Good,4,No
5919-TMRGD,Female,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,Yes
8108-UXRQN,Female,Good,Poor,Poor,Poor,Poor,52885,Good,4,No
9191-MYQKX,Female,Poor,Poor,Good,Poor,Poor,13000,Poor,4,Yes
9919-YLNNG,Female,Poor,Good,Good,Good,Poor,13000,Good,4,No
0318-ZOPWS,Female,Good,Good,Good,Good,Poor,4000,Good,4,No
4445-ZJNMU,Male,Poor,Good,Poor,Poor,Good,52885,Good,4,No
4808-YNLEU,Female,Good,Poor,Poor,Poor,Poor,52885,Poor,4,No
1862-QRWPE,Female,Good,Good,Good,Good,Poor,4000,Good,4,No
2796-NNUFI,Female,Good,Good,Good,Good,Poor,4000,Good,4,No
3016-KSVCP,Male,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,No
4767-HZZHQ,Male,Poor,Good,Good,Poor,Poor,13000,Poor,4,No
2424-WVHPL,Male,Poor,Poor,Poor,Good,Poor,52885,Poor,4,No
7233-PAHHL,Male,Good,Poor,Good,Good,Good,13000,Good,4,No
6067-NGCEU,Female,Good,Good,Good,Poor,Good,13000,Good,4,No
9848-JQJTX,Male,Poor,Good,Good,Poor,Good,13000,Good,4,No
8637-XJIVR,Female,Good,Poor,Poor,Poor,Good,52885,Poor,4,Yes
9803-FTJCG,Male,Good,Good,Poor,Good,Good,52885,Poor,4,No
0278-YXOOG,Male,Good,Good,Good,Good,Poor,4000,Good,4,Yes
3212-KXOCR,Male,Good,Good,Good,Good,Poor,4000,Good,4,No
4598-XLKNJ,Female,Poor,Good,Good,Poor,Poor,13000,Good,4,Yes
6380-ARCEH,Male,Good,Good,Good,Good,Poor,4000,Good,4,No
3679-XASPY,Female,Good,Good,Good,Good,Poor,4000,Good,4,No
7123-WQUHX,Male,Poor,Poor,Good,Good,Good,13000,Poor,4,No
5386-THSLQ,Female,Poor,Good,Good,Poor,Poor,13000,Poor,4,No
3192-NQECA,Male,Poor,Good,Good,Good,Good,13000,Good,4,Yes
6180-YBIQI,Male,Poor,Poor,Poor,Poor,Poor,52885,Poor,4,No
6728-DKUCO,Female,Good,Good,Poor,Poor,Good,52885,Good,4,No
9750-BOOHV,Female,Good,Poor,Poor,Poor,Poor,52885,Poor,4,No
8597-CWYHH,Male,Poor,Poor,Poor,Poor,Good,52885,Good,4,No
2848-YXSMW,Male,Good,Good,Good,Good,Poor,4000,Good,4,No
0486-HECZI,Male,Good,Good,Poor,Poor,Good,52885,Poor,4,Yes
4549-ZDQYY,Female,Good,Poor,Good,Good,Poor,13000,Poor,4,No
5712-AHQNN,Female,Poor,Good,Good,Poor,Poor,13000,Poor,4,No
4846-WHAFZ,Female,Poor,Poor,Poor,Poor,Good,52885,Poor,4,Yes
5256-SKJGO,Female,Poor,Good,Poor,Good,Poor,52885,Good,4,No
3071-VBYPO,Male,Good,Good,Poor,Poor,Poor,52885,Poor,4,No
9560-BBZXK,Female,Good,Poor,Poor,Poor,Poor,52885,Poor,4,No
5299-RULOA,Female,Good,Poor,Poor,Poor,Good,52885,Good,4,Yes
