,Fees,DegreeYears,Churn,Gender_Female,Gender_Male,Education_Good,Education_Poor,Infrastructure_Good,Infrastructure_Poor,PlacementSupport_Good,PlacementSupport_Poor,FacultySupport_Good,FacultySupport_Poor,Events_Good,Events_Poor,Sport Facility_Good,Sport Facility_Poor
0,52885,4,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1
1,13000,4,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1
2,52885,4,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1
3,13000,4,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1
4,52885,4,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1
5,13000,4,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0
6,52885,4,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
7,52885,4,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1
8,13000,4,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0
9,52885,4,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1
10,52885,4,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1
11,4000,4,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0
12,13000,4,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0
13,13000,4,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0
14,13000,4,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0
15,13000,4,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
16,4000,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
17,13000,4,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0
18,13000,4,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1
19,13000,4,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0
20,13000,4,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0
21,4000,4,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0
22,4000,4,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0
23,52885,4,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1
24,52885,4,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1
25,52885,4,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1
26,52885,4,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0
27,52885,4,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1
28,13000,4,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0
29,52885,4,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0
30,13000,4,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
31,13000,4,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0
32,13000,4,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1
33,4000,4,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0
34,52885,4,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
35,52885,4,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1
36,52885,4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
37,13000,4,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1
38,13000,4,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0
39,13000,4,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0
40,52885,4,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1
41,52885,4,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1
42,4000,4,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0
